country,category,co2_emmission
Norway,Animal Products,1348.3899999999999
Norway,Non-Animal Products,33.5
Oman,Animal Products,1209.05
Oman,Non-Animal Products,87.64999999999999
Pakistan,Animal Products,630.25
Pakistan,Non-Animal Products,38.82
Panama,Animal Products,832.5799999999999
Panama,Non-Animal Products,95.88000000000001
Paraguay,Animal Products,861.5500000000001
Paraguay,Non-Animal Products,15.120000000000001
Peru,Animal Products,327.67
Peru,Non-Animal Products,75.17
Philippines,Animal Products,294.33
Philippines,Non-Animal Products,160.95000000000002
Poland,Animal Products,581.45
Poland,Non-Animal Products,25.95
Portugal,Animal Products,1130.3600000000001
Portugal,Non-Animal Products,43.919999999999995
Romania,Animal Products,734.08
Romania,Non-Animal Products,32.22
Russia,Animal Products,973.76
Russia,Non-Animal Products,33.9
Rwanda,Animal Products,166.44
Rwanda,Non-Animal Products,15.190000000000001
Saudi Arabia,Animal Products,623.97
Saudi Arabia,Non-Animal Products,68.89
Senegal,Animal Products,362.67
Senegal,Non-Animal Products,106.76
Serbia,Animal Products,695.73
Serbia,Non-Animal Products,27.61
Sierra Leone,Animal Products,156.7
Sierra Leone,Non-Animal Products,143.70999999999998
Slovakia,Animal Products,526.52
Slovakia,Non-Animal Products,33.82
Slovenia,Animal Products,1077.1000000000001
Slovenia,Non-Animal Products,34.46
South Africa,Animal Products,856.25
South Africa,Non-Animal Products,36.16
South Korea,Animal Products,690.95
South Korea,Non-Animal Products,131.1
Spain,Animal Products,946.74
Spain,Non-Animal Products,41.73
Sri Lanka,Animal Products,145.06
Sri Lanka,Non-Animal Products,149.4
Swaziland,Animal Products,633.14
Swaziland,Non-Animal Products,45.8
Sweden,Animal Products,1493.13
Sweden,Non-Animal Products,33.9
Switzerland,Animal Products,1319.96
Switzerland,Non-Animal Products,36.79
Taiwan. ROC,Animal Products,467.5
Taiwan. ROC,Non-Animal Products,92.05
Tanzania,Animal Products,302.56
Tanzania,Non-Animal Products,40.46
Thailand,Animal Products,225.68
Thailand,Non-Animal Products,152.32000000000002
Togo,Animal Products,146.02
Togo,Non-Animal Products,42.07000000000001
Trinidad and Tobago,Animal Products,565.54
Trinidad and Tobago,Non-Animal Products,44.87
Tunisia,Animal Products,567.79
Tunisia,Non-Animal Products,51.099999999999994
Turkey,Animal Products,835.98
Turkey,Non-Animal Products,61.029999999999994
United States of America,Animal Products,1680.79
United States of America,Non-Animal Products,38.07
Uganda,Animal Products,290.18000000000006
Uganda,Non-Animal Products,14.54
Ukraine,Animal Products,637.0899999999999
Ukraine,Non-Animal Products,28.64
United Arab Emirates,Animal Products,765.22
United Arab Emirates,Non-Animal Products,132.1
United Kingdom,Animal Products,1207.2199999999998
United Kingdom,Non-Animal Products,34.41
Uruguay,Animal Products,1597.6599999999999
Uruguay,Non-Animal Products,37.25
Venezuela,Animal Products,1064.1699999999998
Venezuela,Non-Animal Products,39.93
Vietnam,Animal Products,440.81
Vietnam,Non-Animal Products,200.70000000000002
Zambia,Animal Products,206.88000000000002
Zambia,Non-Animal Products,18.42
Zimbabwe,Animal Products,327.28
Zimbabwe,Non-Animal Products,23.05
