country,co2_emmission_all,food_category,consumption,co2_emmission
Belgium,1102.09,Lamb & Goat,1.32,46.23
Belgium,1102.09,Fish,18.97,30.29
Belgium,1102.09,Eggs,12.59,11.57
Belgium,1102.09,Milk - inc. cheese,236.19,336.42999999999995
Belgium,1102.09,Wheat and Wheat Products,111.91,21.34
Belgium,1102.09,Rice,8.61,11.02
Belgium,1102.09,Soybeans,0.07,0.03
Belgium,1102.09,Nuts inc. Peanut Butter,7.319999999999999,12.96
Belize,433.08,Pork,16.8,59.46
Belize,433.08,Poultry,28.31,30.41
Belize,433.08,Beef,4.859999999999999,149.97
Belize,433.08,Lamb & Goat,0.14,4.9
Belize,433.08,Fish,7.57,12.09
Belize,433.08,Eggs,4.85,4.46
Belize,433.08,Milk - inc. cheese,80.3,114.38
Belize,433.08,Wheat and Wheat Products,54.06,10.31
Belize,433.08,Rice,28.42,36.37
Belize,433.08,Soybeans,1.88,0.8500000000000001
Belize,433.08,Nuts inc. Peanut Butter,5.58,9.88
Bermuda,1483.28,Pork,28.24,99.96
Bermuda,1483.28,Poultry,32.620000000000005,35.04
Bermuda,1483.28,Beef,33.15,1022.94
Bermuda,1483.28,Lamb & Goat,2.71,94.9
Bermuda,1483.28,Fish,33.220000000000006,53.04
Bermuda,1483.28,Eggs,14.92,13.71
Bermuda,1483.28,Milk - inc. cheese,95.56,136.12
Bermuda,1483.28,Wheat and Wheat Products,54.88,10.47
Bermuda,1483.28,Rice,5.38,6.88
Bermuda,1483.28,Soybeans,0.22,0.1
Bermuda,1483.28,Nuts inc. Peanut Butter,5.72,10.12
Bolivia,873.0300000000001,Pork,8.89,31.47
Bolivia,873.0300000000001,Poultry,34.309999999999995,36.86
Bolivia,873.0300000000001,Beef,19.78,610.37
Bolivia,873.0300000000001,Lamb & Goat,1.72,60.23
Bolivia,873.0300000000001,Fish,2.18,3.48
Bolivia,873.0300000000001,Eggs,5.18,4.76
Bolivia,873.0300000000001,Milk - inc. cheese,46.04,65.58
Bolivia,873.0300000000001,Wheat and Wheat Products,49.99,9.53
Bolivia,873.0300000000001,Rice,26.99,34.54
Bolivia,873.0300000000001,Soybeans,0.01,0.0
Bolivia,873.0300000000001,Nuts inc. Peanut Butter,9.16,16.21
Bosnia and Herzegovina,628.1800000000001,Pork,9.38,33.2
Bosnia and Herzegovina,628.1800000000001,Poultry,13.17,14.15
Bosnia and Herzegovina,628.1800000000001,Beef,9.12,281.42
Bosnia and Herzegovina,628.1800000000001,Lamb & Goat,0.47,16.459999999999997
Bosnia and Herzegovina,628.1800000000001,Fish,4.06,6.48
Bosnia and Herzegovina,628.1800000000001,Eggs,4.49,4.119999999999999
Bosnia and Herzegovina,628.1800000000001,Milk - inc. cheese,174.03,247.89
Bosnia and Herzegovina,628.1800000000001,Wheat and Wheat Products,93.56,17.84
Bosnia and Herzegovina,628.1800000000001,Rice,1.88,2.41
Bosnia and Herzegovina,628.1800000000001,Soybeans,1.48,0.6699999999999999
Bosnia and Herzegovina,628.1800000000001,Nuts inc. Peanut Butter,2.0,3.54
Botswana,576.8399999999999,Pork,0.74,2.62
Botswana,576.8399999999999,Poultry,5.33,5.73
Botswana,576.8399999999999,Beef,7.85,242.23
Botswana,576.8399999999999,Lamb & Goat,3.76,131.67
Botswana,576.8399999999999,Fish,3.98,6.35
Botswana,576.8399999999999,Eggs,1.95,1.79
Botswana,576.8399999999999,Milk - inc. cheese,117.74,167.70999999999998
Botswana,576.8399999999999,Wheat and Wheat Products,38.2,7.28
Botswana,576.8399999999999,Rice,7.06,9.03
Botswana,576.8399999999999,Soybeans,1.16,0.52
Botswana,576.8399999999999,Nuts inc. Peanut Butter,1.08,1.91
Brazil,1616.7299999999998,Pork,12.6,44.6
Brazil,1616.7299999999998,Poultry,45.0,48.34
Brazil,1616.7299999999998,Beef,39.25,1211.1699999999998
Brazil,1616.7299999999998,Lamb & Goat,0.62,21.71
Brazil,1616.7299999999998,Fish,10.01,15.98
Brazil,1616.7299999999998,Eggs,8.98,8.25
Brazil,1616.7299999999998,Milk - inc. cheese,149.28,212.63
Brazil,1616.7299999999998,Wheat and Wheat Products,53.0,10.11
Brazil,1616.7299999999998,Rice,32.13,41.120000000000005
Brazil,1616.7299999999998,Soybeans,3.62,1.63
Brazil,1616.7299999999998,Nuts inc. Peanut Butter,0.6699999999999999,1.1900000000000002
