country,food_category,consumption,co2_emmission,category
Sweden,Pork,37.0,130.96,Animal Products
Sweden,Poultry,16.64,17.87,Animal Products
Sweden,Beef,24.58,758.49,Animal Products
Sweden,Lamb & Goat,1.41,49.38,Animal Products
Sweden,Fish,23.86,38.1,Animal Products
Sweden,Eggs,13.37,12.28,Animal Products
Sweden,Milk - inc. cheese,341.23,486.05,Animal Products
Sweden,Wheat and Wheat Products,79.59,15.18,Non-Animal Products
Sweden,Rice,5.96,7.63,Non-Animal Products
Sweden,Soybeans,0.13,0.06,Non-Animal Products
Sweden,Nuts inc. Peanut Butter,6.23,11.03,Non-Animal Products
Bermuda,Pork,28.24,99.96,Animal Products
Bermuda,Poultry,32.620000000000005,35.04,Animal Products
Bermuda,Beef,33.15,1022.94,Animal Products
Bermuda,Lamb & Goat,2.71,94.9,Animal Products
Bermuda,Fish,33.220000000000006,53.04,Animal Products
Bermuda,Eggs,14.92,13.71,Animal Products
Bermuda,Milk - inc. cheese,95.56,136.12,Animal Products
Bermuda,Wheat and Wheat Products,54.88,10.47,Non-Animal Products
Bermuda,Rice,5.38,6.88,Non-Animal Products
Bermuda,Soybeans,0.22,0.1,Non-Animal Products
Bermuda,Nuts inc. Peanut Butter,5.72,10.12,Non-Animal Products
Denmark,Pork,24.87,88.03,Animal Products
Denmark,Poultry,26.75,28.73,Animal Products
Denmark,Beef,28.46,878.22,Animal Products
Denmark,Lamb & Goat,0.92,32.220000000000006,Animal Products
Denmark,Fish,16.49,26.33,Animal Products
Denmark,Eggs,15.35,14.1,Animal Products
Denmark,Milk - inc. cheese,277.3,394.99,Animal Products
Denmark,Wheat and Wheat Products,98.0,18.69,Non-Animal Products
Denmark,Rice,4.96,6.35,Non-Animal Products
Denmark,Soybeans,0.03,0.01,Non-Animal Products
Denmark,Nuts inc. Peanut Butter,5.94,10.51,Non-Animal Products
Finland,Pork,36.14,127.92,Animal Products
Finland,Poultry,19.87,21.34,Animal Products
Finland,Beef,19.22,593.09,Animal Products
Finland,Lamb & Goat,0.53,18.56,Animal Products
Finland,Fish,33.8,53.97,Animal Products
Finland,Eggs,9.55,8.77,Animal Products
Finland,Milk - inc. cheese,430.76,613.57,Animal Products
Finland,Wheat and Wheat Products,81.99000000000001,15.64,Non-Animal Products
Finland,Rice,4.42,5.659999999999999,Non-Animal Products
Finland,Soybeans,0.08,0.04,Non-Animal Products
Finland,Nuts inc. Peanut Butter,3.43,6.07,Non-Animal Products
Ireland,Pork,32.4,114.68,Animal Products
Ireland,Poultry,26.26,28.21,Animal Products
Ireland,Beef,22.35,689.6700000000001,Animal Products
Ireland,Lamb & Goat,4.1,143.58,Animal Products
Ireland,Fish,17.39,27.77,Animal Products
Ireland,Eggs,8.96,8.229999999999999,Animal Products
Ireland,Milk - inc. cheese,291.86,415.73,Animal Products
Ireland,Wheat and Wheat Products,107.98,20.59,Non-Animal Products
Ireland,Rice,3.0,3.84,Non-Animal Products
Ireland,Soybeans,0.25,0.11,Non-Animal Products
Ireland,Nuts inc. Peanut Butter,4.1,7.26,Non-Animal Products
Greece,Pork,28.31,100.2,Animal Products
Greece,Poultry,15.739999999999998,16.91,Animal Products
Greece,Beef,16.1,496.81,Animal Products
Greece,Lamb & Goat,12.47,436.7,Animal Products
Greece,Fish,14.42,23.02,Animal Products
Greece,Eggs,10.13,9.31,Animal Products
Greece,Milk - inc. cheese,255.26,363.59,Animal Products
Greece,Wheat and Wheat Products,124.04,23.65,Non-Animal Products
Greece,Rice,6.64,8.5,Non-Animal Products
Greece,Soybeans,0.02,0.01,Non-Animal Products
Greece,Nuts inc. Peanut Butter,10.5,18.59,Non-Animal Products
France,Pork,33.05,116.98,Animal Products
France,Poultry,22.93,24.630000000000003,Animal Products
France,Beef,23.81,734.73,Animal Products
France,Lamb & Goat,3.28,114.87,Animal Products
France,Fish,22.91,36.58,Animal Products
France,Eggs,13.13,12.06,Animal Products
France,Milk - inc. cheese,241.31,343.72,Animal Products
