country,food_category,consumption,co2_emission,category,co2_emission_category,co2_emission_all,co2_emission_animal,co2_emission_non_animals,co2_emission_range
United States of America,Milk - inc. cheese,254.69,362.78,Animal Products,1680.79,1718.86,1680.79,38.07,1500+
United States of America,Wheat and Wheat Products,80.43,15.34,Non-Animal Products,38.07,1718.86,1680.79,38.07,1500+
United States of America,Rice,6.88,8.8,Non-Animal Products,38.07,1718.86,1680.79,38.07,1500+
United States of America,Soybeans,0.04,0.02,Non-Animal Products,38.07,1718.86,1680.79,38.07,1500+
United States of America,Nuts inc. Peanut Butter,7.859999999999999,13.91,Non-Animal Products,38.07,1718.86,1680.79,38.07,1500+
Uruguay,Pork,16.84,59.61,Animal Products,1597.66,1634.91,1597.66,37.25,1500+
Uruguay,Poultry,27.45,29.49,Animal Products,1597.66,1634.91,1597.66,37.25,1500+
Uruguay,Beef,29.1,897.9599999999999,Animal Products,1597.66,1634.91,1597.66,37.25,1500+
Uruguay,Lamb & Goat,8.229999999999999,288.21,Animal Products,1597.66,1634.91,1597.66,37.25,1500+
Uruguay,Fish,6.53,10.43,Animal Products,1597.66,1634.91,1597.66,37.25,1500+
Uruguay,Eggs,13.14,12.07,Animal Products,1597.66,1634.91,1597.66,37.25,1500+
Uruguay,Milk - inc. cheese,210.54,299.89,Animal Products,1597.66,1634.91,1597.66,37.25,1500+
Uruguay,Wheat and Wheat Products,109.31,20.85,Non-Animal Products,37.25,1634.91,1597.66,37.25,1500+
Uruguay,Rice,11.5,14.72,Non-Animal Products,37.25,1634.91,1597.66,37.25,1500+
Uruguay,Soybeans,0.01,0.0,Non-Animal Products,37.25,1634.91,1597.66,37.25,1500+
Uruguay,Nuts inc. Peanut Butter,0.95,1.6800000000000002,Non-Animal Products,37.25,1634.91,1597.66,37.25,1500+
Luxembourg,Pork,43.58,154.25,Animal Products,1571.69,1598.41,1571.69,26.72,1500+
Luxembourg,Poultry,21.37,22.96,Animal Products,1571.69,1598.41,1571.69,26.72,1500+
Luxembourg,Beef,29.88,922.03,Animal Products,1571.69,1598.41,1571.69,26.72,1500+
Luxembourg,Lamb & Goat,1.6700000000000002,58.48,Animal Products,1571.69,1598.41,1571.69,26.72,1500+
Luxembourg,Fish,23.09,36.87,Animal Products,1571.69,1598.41,1571.69,26.72,1500+
Luxembourg,Eggs,14.64,13.45,Animal Products,1571.69,1598.41,1571.69,26.72,1500+
Luxembourg,Milk - inc. cheese,255.3,363.65,Animal Products,1571.69,1598.41,1571.69,26.72,1500+
Luxembourg,Wheat and Wheat Products,103.2,19.68,Non-Animal Products,26.72,1598.41,1571.69,26.72,1500+
Luxembourg,Rice,4.2,5.37,Non-Animal Products,26.72,1598.41,1571.69,26.72,1500+
Luxembourg,Soybeans,0.04,0.02,Non-Animal Products,26.72,1598.41,1571.69,26.72,1500+
Luxembourg,Nuts inc. Peanut Butter,0.93,1.65,Non-Animal Products,26.72,1598.41,1571.69,26.72,1500+
Brazil,Pork,12.6,44.6,Animal Products,1562.6799999999998,1616.7299999999998,1562.6799999999998,54.05,1500+
Brazil,Poultry,45.0,48.34,Animal Products,1562.6799999999998,1616.7299999999998,1562.6799999999998,54.05,1500+
Brazil,Beef,39.25,1211.1699999999998,Animal Products,1562.6799999999998,1616.7299999999998,1562.6799999999998,54.05,1500+
Brazil,Lamb & Goat,0.62,21.71,Animal Products,1562.6799999999998,1616.7299999999998,1562.6799999999998,54.05,1500+
Brazil,Fish,10.01,15.98,Animal Products,1562.6799999999998,1616.7299999999998,1562.6799999999998,54.05,1500+
Brazil,Eggs,8.98,8.25,Animal Products,1562.6799999999998,1616.7299999999998,1562.6799999999998,54.05,1500+
Brazil,Milk - inc. cheese,149.28,212.63,Animal Products,1562.6799999999998,1616.7299999999998,1562.6799999999998,54.05,1500+
Brazil,Wheat and Wheat Products,53.0,10.11,Non-Animal Products,54.05,1616.7299999999998,1562.6799999999998,54.05,1500+
Brazil,Rice,32.13,41.120000000000005,Non-Animal Products,54.05,1616.7299999999998,1562.6799999999998,54.05,1500+
Brazil,Soybeans,3.62,1.63,Non-Animal Products,54.05,1616.7299999999998,1562.6799999999998,54.05,1500+
Brazil,Nuts inc. Peanut Butter,0.6699999999999999,1.1900000000000002,Non-Animal Products,54.05,1616.7299999999998,1562.6799999999998,54.05,1500+
Kazakhstan,Pork,10.36,36.67,Animal Products,1539.0,1575.08,1539.0,36.08,1500+
Kazakhstan,Poultry,18.38,19.74,Animal Products,1539.0,1575.08,1539.0,36.08,1500+
Kazakhstan,Beef,23.38,721.4599999999999,Animal Products,1539.0,1575.08,1539.0,36.08,1500+
Kazakhstan,Lamb & Goat,9.56,334.79,Animal Products,1539.0,1575.08,1539.0,36.08,1500+
Kazakhstan,Fish,5.21,8.32,Animal Products,1539.0,1575.08,1539.0,36.08,1500+
Kazakhstan,Eggs,8.29,7.619999999999999,Animal Products,1539.0,1575.08,1539.0,36.08,1500+
Kazakhstan,Milk - inc. cheese,288.12,410.4,Animal Products,1539.0,1575.08,1539.0,36.08,1500+
Kazakhstan,Wheat and Wheat Products,92.31,17.6,Non-Animal Products,36.08,1575.08,1539.0,36.08,1500+
Kazakhstan,Rice,7.319999999999999,9.37,Non-Animal Products,36.08,1575.08,1539.0,36.08,1500+
Kazakhstan,Soybeans,0.03,0.01,Non-Animal Products,36.08,1575.08,1539.0,36.08,1500+
Kazakhstan,Nuts inc. Peanut Butter,5.14,9.1,Non-Animal Products,36.08,1575.08,1539.0,36.08,1500+
Sweden,Pork,37.0,130.96,Animal Products,1493.13,1527.03,1493.13,33.9,1500+
Sweden,Poultry,16.64,17.87,Animal Products,1493.13,1527.03,1493.13,33.9,1500+
Sweden,Beef,24.58,758.49,Animal Products,1493.13,1527.03,1493.13,33.9,1500+
Sweden,Lamb & Goat,1.41,49.38,Animal Products,1493.13,1527.03,1493.13,33.9,1500+
Sweden,Fish,23.86,38.1,Animal Products,1493.13,1527.03,1493.13,33.9,1500+
Sweden,Eggs,13.37,12.28,Animal Products,1493.13,1527.03,1493.13,33.9,1500+
Sweden,Milk - inc. cheese,341.23,486.05,Animal Products,1493.13,1527.03,1493.13,33.9,1500+
Sweden,Wheat and Wheat Products,79.59,15.18,Non-Animal Products,33.9,1527.03,1493.13,33.9,1500+
Sweden,Rice,5.96,7.63,Non-Animal Products,33.9,1527.03,1493.13,33.9,1500+
Sweden,Soybeans,0.13,0.06,Non-Animal Products,33.9,1527.03,1493.13,33.9,1500+
Sweden,Nuts inc. Peanut Butter,6.23,11.03,Non-Animal Products,33.9,1527.03,1493.13,33.9,1500+
Bermuda,Pork,28.24,99.96,Animal Products,1455.71,1483.28,1455.71,27.57,1000-1500
Bermuda,Poultry,32.620000000000005,35.04,Animal Products,1455.71,1483.28,1455.71,27.57,1000-1500
Bermuda,Beef,33.15,1022.94,Animal Products,1455.71,1483.28,1455.71,27.57,1000-1500
Bermuda,Lamb & Goat,2.71,94.9,Animal Products,1455.71,1483.28,1455.71,27.57,1000-1500
Bermuda,Fish,33.220000000000006,53.04,Animal Products,1455.71,1483.28,1455.71,27.57,1000-1500
Bermuda,Eggs,14.92,13.71,Animal Products,1455.71,1483.28,1455.71,27.57,1000-1500
Bermuda,Milk - inc. cheese,95.56,136.12,Animal Products,1455.71,1483.28,1455.71,27.57,1000-1500
Bermuda,Wheat and Wheat Products,54.88,10.47,Non-Animal Products,27.57,1483.28,1455.71,27.57,1000-1500
Bermuda,Rice,5.38,6.88,Non-Animal Products,27.57,1483.28,1455.71,27.57,1000-1500
Bermuda,Soybeans,0.22,0.1,Non-Animal Products,27.57,1483.28,1455.71,27.57,1000-1500
Bermuda,Nuts inc. Peanut Butter,5.72,10.12,Non-Animal Products,27.57,1483.28,1455.71,27.57,1000-1500
Denmark,Pork,24.87,88.03,Animal Products,1462.62,1498.18,1462.62,35.56,1000-1500
Denmark,Poultry,26.75,28.73,Animal Products,1462.62,1498.18,1462.62,35.56,1000-1500
Denmark,Beef,28.46,878.22,Animal Products,1462.62,1498.18,1462.62,35.56,1000-1500
Denmark,Lamb & Goat,0.92,32.220000000000006,Animal Products,1462.62,1498.18,1462.62,35.56,1000-1500
Denmark,Fish,16.49,26.33,Animal Products,1462.62,1498.18,1462.62,35.56,1000-1500
Denmark,Eggs,15.35,14.1,Animal Products,1462.62,1498.18,1462.62,35.56,1000-1500
Denmark,Milk - inc. cheese,277.3,394.99,Animal Products,1462.62,1498.18,1462.62,35.56,1000-1500
Denmark,Wheat and Wheat Products,98.0,18.69,Non-Animal Products,35.56,1498.18,1462.62,35.56,1000-1500
Denmark,Rice,4.96,6.35,Non-Animal Products,35.56,1498.18,1462.62,35.56,1000-1500
Denmark,Soybeans,0.03,0.01,Non-Animal Products,35.56,1498.18,1462.62,35.56,1000-1500
Denmark,Nuts inc. Peanut Butter,5.94,10.51,Non-Animal Products,35.56,1498.18,1462.62,35.56,1000-1500
Finland,Pork,36.14,127.92,Animal Products,1437.22,1464.63,1437.22,27.41,1000-1500
Finland,Poultry,19.87,21.34,Animal Products,1437.22,1464.63,1437.22,27.41,1000-1500
