country,co2_emmission_all,food_category_x,consumption,co2_emmission_x,food_category_y,co2_emmission_y
Argentina,2172.4,Soybeans,0.0,0.0,Non-Animal Products,31.75
Argentina,2172.4,Nuts inc. Peanut Butter,0.49,0.8700000000000001,Animal Products,2140.65
Argentina,2172.4,Nuts inc. Peanut Butter,0.49,0.8700000000000001,Non-Animal Products,31.75
Armenia,1109.93,Pork,9.67,34.230000000000004,Animal Products,1076.44
Armenia,1109.93,Pork,9.67,34.230000000000004,Non-Animal Products,33.49
Armenia,1109.93,Poultry,13.35,14.34,Animal Products,1076.44
Armenia,1109.93,Poultry,13.35,14.34,Non-Animal Products,33.49
Armenia,1109.93,Beef,19.66,606.6700000000001,Animal Products,1076.44
Armenia,1109.93,Beef,19.66,606.6700000000001,Non-Animal Products,33.49
Armenia,1109.93,Lamb & Goat,3.02,105.76,Animal Products,1076.44
Armenia,1109.93,Lamb & Goat,3.02,105.76,Non-Animal Products,33.49
Armenia,1109.93,Fish,4.359999999999999,6.96,Animal Products,1076.44
Armenia,1109.93,Fish,4.359999999999999,6.96,Non-Animal Products,33.49
Armenia,1109.93,Eggs,11.69,10.739999999999998,Animal Products,1076.44
Armenia,1109.93,Eggs,11.69,10.739999999999998,Non-Animal Products,33.49
Armenia,1109.93,Milk - inc. cheese,209.03,297.74,Animal Products,1076.44
Armenia,1109.93,Milk - inc. cheese,209.03,297.74,Non-Animal Products,33.49
Armenia,1109.93,Wheat and Wheat Products,130.6,24.91,Animal Products,1076.44
Armenia,1109.93,Wheat and Wheat Products,130.6,24.91,Non-Animal Products,33.49
Armenia,1109.93,Rice,3.18,4.07,Animal Products,1076.44
Armenia,1109.93,Rice,3.18,4.07,Non-Animal Products,33.49
Armenia,1109.93,Soybeans,0.0,0.0,Animal Products,1076.44
Armenia,1109.93,Soybeans,0.0,0.0,Non-Animal Products,33.49
Armenia,1109.93,Nuts inc. Peanut Butter,2.55,4.51,Animal Products,1076.44
Armenia,1109.93,Nuts inc. Peanut Butter,2.55,4.51,Non-Animal Products,33.49
